,case_id,A_Create Application,A_Submitted,W_Handle leads,W_Complete application,A_Concept,A_Accepted,O_Create Offer,O_Created,O_Sent (mail and online),W_Call after offers,A_Complete,W_Validate application,A_Validating,O_Returned,W_Call incomplete files,A_Incomplete,O_Accepted,A_Pending,A_Denied,O_Refused,O_Cancelled,A_Cancelled,O_Sent (online only),W_Assess potential fraud,W_Personal Loan collection,W_Shortened completion ,time
51,Application_351152063,1,0,0,6,1,1,1,1,1,8,1,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,307.6131669444445
52,Application_1547844908,1,0,0,3,1,1,2,2,2,6,1,12,3,2,14,2,1,1,0,0,1,0,0,0,0,0,287.1235002777778
53,Application_2055987002,1,0,0,3,1,1,1,1,1,6,1,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,216.4678094444444
54,Application_1118236712,1,1,2,7,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,830.9051522222222
55,Application_1234535641,1,1,2,5,1,1,2,2,2,6,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1382.6413341666666
56,Application_1898882436,1,1,2,4,1,1,1,1,1,10,1,4,1,1,8,1,1,1,0,0,0,0,0,0,0,0,257.5377369444444
57,Application_2113276114,1,1,2,17,1,1,1,1,1,6,1,8,2,1,12,2,1,1,0,0,0,0,0,0,0,0,471.760865
58,Application_1603124379,1,1,2,3,1,1,2,2,2,4,1,18,3,1,14,2,1,1,0,0,1,0,0,0,0,0,233.37623277777777
59,Application_2110144842,1,1,3,6,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,781.5319502777778
60,Application_486645986,1,1,2,4,1,1,2,2,1,6,1,23,2,2,6,1,1,1,0,0,1,0,1,0,0,0,309.1940180555556
61,Application_587387633,1,1,2,7,1,1,1,1,1,6,1,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,400.0575422222222
62,Application_901793095,1,1,2,7,1,1,1,1,1,6,1,4,1,1,8,1,1,1,0,0,0,0,0,0,0,0,283.2093811111111
63,Application_340403559,1,1,2,3,1,1,2,2,2,6,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1378.9142283333335
64,Application_1825104006,1,1,2,4,1,1,5,5,5,6,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1378.6862616666667
65,Application_1530322400,1,1,3,5,1,1,1,1,1,12,1,13,1,1,16,1,0,0,0,0,1,1,0,0,0,0,809.7662030555555
66,Application_593655901,1,1,3,6,1,1,2,2,2,6,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1377.2628116666667
67,Application_1535675187,1,1,3,9,1,1,1,1,1,6,1,36,4,1,17,3,1,1,0,0,0,0,0,0,0,0,305.9287808333333
68,Application_1767756144,1,1,2,6,1,1,2,2,2,6,1,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,295.58367416666664
69,Application_1405679737,1,1,2,9,1,1,1,1,1,6,1,21,2,1,49,2,0,0,0,0,1,1,0,0,0,0,1904.8403697222225
70,Application_446334558,1,1,2,3,1,1,2,2,1,6,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,814.8417688888889
71,Application_130460765,1,1,2,8,1,1,2,2,2,6,1,9,1,1,0,0,1,1,0,0,1,0,0,0,0,0,365.15732916666667
72,Application_1300843234,1,1,2,4,1,1,2,2,1,4,1,10,2,1,8,1,0,0,1,2,0,0,0,0,0,0,217.89552416666666
73,Application_1588619628,1,1,3,5,1,1,3,3,3,6,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1365.077251111111
74,Application_505474597,1,1,2,4,1,1,3,3,2,6,1,4,1,1,0,0,1,1,0,0,2,0,1,0,0,0,245.4469911111111
75,Application_1765204099,1,1,2,6,1,1,2,2,2,6,1,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,245.52983888888892
76,Application_1624825294,1,1,3,6,1,1,1,1,1,6,1,7,1,1,13,1,0,0,0,0,1,1,0,0,0,0,885.7163066666667
77,Application_1448214642,1,1,2,7,1,1,2,2,2,6,1,12,3,1,11,2,1,1,0,0,1,0,0,0,0,0,292.08953222222226
78,Application_987262285,1,1,3,6,1,1,1,1,1,6,1,9,1,1,0,0,0,0,1,1,0,0,0,0,0,0,214.5514475
79,Application_1845547664,1,1,2,9,1,1,2,2,1,4,1,8,2,1,6,1,1,1,0,0,1,0,0,0,0,0,242.7320261111111
80,Application_1947648225,1,1,2,15,1,1,3,3,3,8,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1938.3337538888889
81,Application_1130101747,1,1,2,4,1,1,1,1,1,14,1,7,1,1,6,1,1,1,0,0,0,0,0,0,0,0,451.33677555555556
82,Application_798605556,1,1,2,5,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,211.4054052777778
83,Application_2062932311,1,1,2,6,1,1,1,1,1,6,1,8,2,1,5,1,1,1,0,0,0,0,0,0,0,0,239.35576055555558
84,Application_430902047,1,1,2,4,1,1,1,1,1,6,1,8,2,1,10,1,1,1,0,0,0,0,0,0,0,0,527.3550083333333
85,Application_1370588808,1,1,2,4,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,782.8331766666668
86,Application_163777174,1,1,2,3,1,1,1,1,1,6,1,25,3,1,11,2,1,1,0,0,0,0,0,0,0,0,447.38476611111116
87,Application_909491524,1,1,2,8,1,1,1,1,1,6,1,7,1,1,6,1,1,1,0,0,0,0,0,0,0,0,261.4620683333333
88,Application_396349881,1,1,2,3,1,1,1,1,1,6,1,9,1,1,3,1,0,0,1,1,0,0,0,0,0,0,375.19277361111114
89,Application_930742634,1,1,2,8,1,1,2,2,2,6,1,4,1,1,6,1,1,1,0,0,1,0,0,0,0,0,766.4785694444444
90,Application_2068443797,1,1,2,5,1,1,2,2,2,6,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1356.2031761111111
91,Application_354702724,1,1,2,4,1,1,2,2,2,6,1,5,1,1,0,0,1,1,0,0,1,0,0,0,0,0,251.61685916666664
92,Application_1357431492,1,1,2,3,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,755.6739030555556
93,Application_584603670,1,1,3,8,1,1,1,1,1,4,1,17,3,1,15,2,1,1,0,0,0,0,0,0,0,0,208.89822333333333
94,Application_807916303,1,1,2,14,1,1,2,2,2,6,1,18,3,1,11,2,1,1,0,0,1,0,0,0,0,0,1435.2571725000003
95,Application_283012951,1,1,2,9,1,1,1,1,1,6,1,9,2,1,6,1,1,1,0,0,0,0,0,0,0,0,347.34633333333335
96,Application_1876456626,1,1,3,10,1,1,3,3,3,6,1,23,3,2,12,2,1,1,0,0,2,0,0,0,0,0,280.7929897222222
97,Application_178025821,1,1,2,7,1,1,2,2,1,6,1,10,2,0,13,2,0,0,0,0,2,1,1,0,0,0,444.6190888888889
98,Application_813133375,1,1,2,5,1,1,3,3,3,4,1,16,2,1,6,1,1,1,0,0,2,0,0,0,0,0,234.22887388888887
99,Application_268676496,1,1,2,3,1,1,4,4,3,6,1,4,1,1,8,1,1,1,0,0,3,0,1,0,0,0,258.3130008333333
100,Application_1870161219,1,1,2,8,1,1,1,1,1,14,1,16,3,1,34,2,1,1,0,0,0,0,0,0,0,0,1360.5111755555556
101,Application_1723779444,1,1,2,5,1,1,2,2,2,6,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1353.8619036111113
102,Application_1339153511,1,1,2,4,1,1,1,1,1,6,1,21,4,1,26,4,1,1,0,0,0,0,0,0,0,0,374.5015702777777
103,Application_1754646859,1,1,2,2,1,1,2,2,2,6,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1353.6540819444447
104,Application_2002564265,1,1,2,6,1,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,68.15669444444444
105,Application_1304234740,1,1,2,15,1,1,2,2,2,6,1,14,2,1,14,2,0,0,0,0,2,1,0,0,0,0,592.5813049999999
106,Application_58755651,1,1,2,3,1,1,3,3,1,6,1,7,1,1,0,0,0,0,1,3,0,0,2,0,0,0,223.09090305555554
107,Application_93597308,1,1,2,5,1,1,1,1,1,6,1,14,2,1,18,2,0,0,0,0,1,1,0,0,0,0,444.0405866666667
108,Application_774787486,1,1,2,4,1,1,2,2,2,6,1,5,1,1,0,0,0,0,1,2,0,0,0,0,0,0,607.4606227777779
109,Application_1660185664,1,0,0,3,1,1,1,1,1,3,1,7,2,1,24,2,1,1,0,0,0,0,0,0,0,0,1184.5549833333337
110,Application_2105878744,1,1,2,4,1,1,1,1,1,6,1,10,2,1,8,1,1,1,0,0,0,0,0,0,0,0,511.6705144444444
111,Application_1446096185,1,0,0,4,1,1,2,2,1,6,1,10,2,1,12,2,1,1,0,0,1,0,0,0,0,0,432.6339933333333
112,Application_675073178,1,0,0,5,1,1,1,1,1,6,1,19,3,1,12,2,1,1,0,0,0,0,0,0,0,0,359.576805
113,Application_952532843,1,1,2,13,1,1,2,2,2,6,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1342.5700255555557
114,Application_914660918,1,0,0,3,1,1,1,1,1,6,1,10,1,1,0,0,0,0,1,1,0,0,0,0,0,0,531.6122186111111
115,Application_167944225,1,1,2,8,1,1,1,1,1,6,1,6,1,1,0,0,0,0,1,1,0,0,0,0,0,0,172.84235055555558
116,Application_1962860870,1,0,0,4,1,1,2,2,1,6,1,7,1,1,0,0,1,1,0,0,1,0,0,0,0,0,169.90479583333334
117,Application_1696031128,1,0,0,4,1,1,1,1,1,6,1,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,173.30891055555554
118,Application_803879893,1,0,0,9,1,1,1,1,1,6,1,11,3,1,12,2,1,1,0,0,0,0,0,0,0,0,263.9485158333333
119,Application_1886382319,1,0,0,3,1,1,2,2,2,6,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1342.1935797222222
120,Application_1250134245,1,1,2,5,1,1,2,2,2,6,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1342.0994802777777
121,Application_1044610848,1,0,0,5,1,1,1,1,1,6,1,9,1,1,0,0,1,1,0,0,0,0,0,0,0,0,411.18064277777773
122,Application_1999238509,1,0,0,3,1,1,1,1,1,5,1,26,4,1,17,3,1,1,0,0,0,0,0,0,0,0,556.7893116666668
123,Application_854524772,1,0,0,3,1,1,1,1,1,6,1,4,1,1,6,1,1,1,0,0,0,0,0,0,0,0,430.74955111111115
124,Application_927205634,1,0,0,3,1,1,1,1,1,3,1,3,1,1,19,1,0,0,0,0,1,1,0,0,0,0,671.0882144444445
125,Application_484278024,1,0,0,8,1,1,1,1,1,6,1,4,1,1,19,1,0,0,0,0,1,1,0,0,0,0,1110.156021111111
126,Application_1674281629,1,0,0,6,1,1,2,2,2,4,1,7,1,1,0,0,1,1,0,0,1,0,0,0,0,0,74.75554361111111
127,Application_299986859,1,0,0,3,1,1,1,1,1,6,1,11,1,1,0,0,1,1,0,0,0,0,0,0,0,0,195.88421250000002
128,Application_1374020543,1,0,0,3,1,1,1,1,1,8,1,29,4,1,29,3,1,1,0,0,0,0,0,0,0,0,1059.6819177777777
129,Application_1252717204,1,0,0,4,1,1,4,4,4,6,1,9,1,1,0,0,1,1,0,0,3,0,0,0,0,0,1537.909718333333
130,Application_24648067,1,0,0,5,1,1,1,1,1,6,1,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,263.5423177777778
131,Application_1823402778,1,1,2,3,1,1,3,3,2,6,1,4,1,1,0,0,1,1,0,0,2,0,1,0,0,0,269.1440897222222
132,Application_2108937169,1,0,0,3,1,1,1,1,1,6,1,14,2,1,15,2,1,1,0,0,0,0,0,0,0,0,429.2118872222222
133,Application_895241174,1,0,0,5,1,1,3,3,2,6,1,6,1,1,0,0,1,1,0,0,2,0,1,0,0,0,242.55652
134,Application_1290239114,1,1,2,10,1,1,1,1,1,6,1,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,216.75434777777778
135,Application_1787371920,1,0,0,9,1,1,1,1,1,6,1,8,2,1,6,1,1,1,0,0,0,0,0,0,0,0,237.96974805555556
136,Application_1471099537,1,0,0,6,1,1,2,2,1,6,1,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,191.3029772222222
137,Application_37839400,1,0,0,8,1,1,1,1,1,6,1,8,2,1,6,1,1,1,0,0,0,0,0,0,0,0,723.5992616666667
138,Application_1128910355,1,0,0,3,1,1,2,2,2,6,1,3,1,1,11,1,0,0,0,0,2,1,0,0,0,0,1295.2596694444444
139,Application_54405635,1,0,0,5,1,1,1,1,1,8,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,764.3250325
140,Application_395903076,1,1,2,4,1,1,1,1,1,6,1,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,214.96089138888888
141,Application_1859638703,1,1,2,2,1,1,2,2,2,6,1,24,2,1,6,1,1,1,0,0,1,0,0,0,0,0,196.80138277777777
142,Application_1101997724,1,1,3,5,1,1,1,1,1,6,1,7,1,1,9,1,0,0,0,0,1,1,0,0,0,0,415.7187061111111
143,Application_74505494,1,1,2,5,1,1,2,2,2,6,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,763.8660466666666
144,Application_525275343,1,1,5,6,1,1,1,1,1,6,1,7,1,1,0,0,0,0,1,1,0,0,0,0,0,0,217.8875111111111
145,Application_106973225,1,1,2,4,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,763.7002761111111
146,Application_1315608886,1,1,2,6,1,1,1,1,1,6,1,10,2,1,6,1,1,1,0,0,0,0,0,0,0,0,412.6702711111111
147,Application_1538441067,1,0,0,3,1,1,2,2,2,6,1,5,1,1,10,1,0,0,0,0,2,1,0,0,0,0,572.5454966666667
148,Application_822724921,1,1,2,3,1,1,2,2,2,6,1,12,2,1,8,1,1,1,0,0,1,0,0,0,0,0,172.68109722222223
149,Application_2040511284,1,0,0,3,1,1,3,3,3,6,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,622.0690966666667
150,Application_1754943309,1,1,2,8,1,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,49.74118833333333
151,Application_323012882,1,0,0,3,1,1,1,1,1,6,1,8,2,1,6,1,1,1,0,0,0,0,0,0,0,0,171.00922916666664
152,Application_347136910,1,1,2,3,1,1,1,1,1,6,1,8,2,1,6,1,1,1,0,0,0,0,0,0,0,0,261.6049336111111
153,Application_1432907447,1,0,0,3,1,1,1,1,1,6,1,4,1,1,8,1,1,1,0,0,0,0,0,0,0,0,427.6994891666667
154,Application_1004303396,1,1,2,3,1,1,1,1,1,6,1,33,5,1,33,4,1,1,0,0,0,0,0,0,0,0,600.2092291666667
155,Application_1096831814,1,0,0,3,1,1,2,2,2,6,1,10,2,1,6,1,1,1,0,0,1,0,0,0,0,0,99.06641583333334
156,Application_1068218912,1,1,2,5,1,1,2,2,2,8,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1338.1541997222223
157,Application_709929024,1,1,2,8,1,1,2,2,2,6,1,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,192.7321577777778
158,Application_347787380,1,0,0,9,1,1,2,2,2,6,1,12,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1029.7398233333333
159,Application_1546754076,1,1,2,8,1,1,1,1,1,6,1,14,4,1,16,3,1,1,0,0,0,0,0,0,0,0,407.45737833333334
160,Application_1365381023,1,1,3,10,1,1,2,2,2,6,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1337.5237805555557
161,Application_1981969728,1,1,3,6,1,1,1,1,1,6,1,7,1,1,6,1,1,1,0,0,0,0,0,0,0,0,425.9578080555556
162,Application_665878125,1,0,0,3,1,1,2,2,2,8,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1337.4447241666667
163,Application_1044911465,1,1,5,5,1,1,2,2,2,6,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1337.355956111111
164,Application_1613424593,1,1,2,8,1,1,2,2,2,8,1,12,2,1,6,1,1,1,0,0,1,0,0,0,0,0,377.5354263888888
165,Application_862160604,1,0,0,7,1,1,2,2,2,6,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1337.0047152777777
166,Application_60181210,1,1,7,6,1,1,1,1,1,6,1,8,2,1,6,1,1,1,0,0,0,0,0,0,0,0,353.0576586111111
167,Application_369018038,1,0,0,7,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,736.6171708333333
168,Application_920048730,1,0,0,4,1,1,2,2,2,8,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,760.5867952777777
169,Application_220402598,1,0,0,8,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,760.4319061111112
170,Application_1947668470,1,0,0,10,1,1,1,1,1,6,1,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,331.19383500000004
171,Application_1301925609,1,0,0,9,1,1,1,1,1,6,1,10,1,1,6,1,1,1,0,0,0,0,0,0,0,0,261.53772305555555
172,Application_2070389081,1,0,0,7,1,1,2,2,2,6,1,8,2,1,6,1,0,0,1,2,0,0,0,0,0,0,232.23569916666665
173,Application_864903752,1,1,2,5,1,1,2,2,2,6,1,9,1,1,6,1,0,0,1,2,0,0,0,0,0,0,209.3152386111111
174,Application_1159653941,1,0,0,3,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,735.9523411111111
175,Application_663648942,1,1,2,9,1,1,2,2,2,6,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1335.8056941666666
176,Application_1616009132,1,0,0,3,1,1,1,1,1,6,1,5,1,1,6,1,1,1,0,0,0,0,0,0,0,0,423.4058669444445
177,Application_53530491,1,0,0,3,1,1,1,1,1,6,1,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,233.0036375
178,Application_1953406738,1,1,3,6,1,1,2,2,2,6,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1335.1213511111112
179,Application_1413308979,1,1,2,5,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,166.03914861111113
180,Application_1308403282,1,1,2,3,1,1,2,2,1,8,1,4,1,1,6,1,1,1,0,0,1,0,0,0,0,0,423.87076277777777
181,Application_212010049,1,0,0,3,1,1,1,1,1,6,1,7,1,1,0,0,1,1,0,0,0,0,0,0,0,0,233.01109972222224
182,Application_1946680177,1,1,2,7,1,1,1,1,1,6,1,27,4,1,28,3,1,1,0,0,0,0,0,0,0,0,544.8353736111111
183,Application_948316229,1,1,2,5,1,1,2,2,2,6,1,25,3,1,18,2,1,1,0,0,1,0,0,0,0,0,1263.834855277778
184,Application_1138826038,1,1,2,8,1,1,1,1,1,6,1,19,3,1,11,2,1,1,0,0,0,0,0,0,0,0,330.32308805555556
185,Application_369105792,1,1,2,3,1,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,39.93624333333333
186,Application_1998350808,1,1,2,5,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,782.2999336111111
187,Application_1301009504,1,1,11,4,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,757.7537225
188,Application_547462088,1,1,5,5,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,757.6342494444444
189,Application_223366470,1,0,0,3,1,1,1,1,1,6,1,5,1,1,11,1,0,0,0,0,1,1,0,0,0,0,710.7368077777777
190,Application_1130151790,1,0,0,3,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,733.1938963888889
191,Application_1791187926,1,1,2,5,1,1,3,3,2,6,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1333.0412088888888
192,Application_421364849,1,1,2,7,1,1,1,1,1,6,1,15,1,1,0,0,1,1,0,0,0,0,0,0,0,0,351.1021416666666
193,Application_1268592022,1,1,2,5,1,1,2,2,2,6,1,4,1,1,6,1,1,1,0,0,1,0,0,0,0,0,422.35737305555557
194,Application_1955353500,1,0,0,3,1,1,1,1,1,6,1,15,2,1,6,1,1,1,0,0,0,0,0,0,0,0,400.51805666666667
