features,dim,score
"['Num of Archive order', 'Num of Ship product']",1,-2.654683736764972e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Emit invoice']",2,-1.9592209899237373e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Get shipping address']",2,-1.9592209899237373e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 1']",2,-1.8534350613729125e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2']",2,-1.7127953644774192e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Receive Payment']",2,-1.9592209899237373e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Request raw materials from Supplier 1']",2,-1.9592209899237373e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Request raw materials from Supplier 2']",2,-1.9592209899237373e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Retrieve product from warehouse']",2,-1.9442568050815177e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Ship product']",2,-1.960919107185346e-06
"['Num of Archive order', 'cost Manufacture product', 'Num of Check raw materials availability']",2,-1.954406901868937e-06
"['Num of Archive order', 'cost Manufacture product', 'Num of Confirm order']",2,-1.9544069018689387e-06
"['Num of Archive order', 'cost Manufacture product', 'Num of Emit invoice']",2,-1.9569162925219405e-06
"['Num of Archive order', 'cost Manufacture product', 'Num of Get shipping address']",2,-1.9569162925219405e-06
"['Num of Archive order', 'cost Manufacture product', 'Num of Manufacture product']",2,-1.9569162925219405e-06
"['Num of Archive order', 'cost Manufacture product', 'Num of Notify unavailability to customer']",2,-1.9544069018689396e-06
"['Num of Archive order', 'cost Manufacture product', 'Num of Obtain raw materials from Supplier 1']",2,-1.9569162925219405e-06
"['Num of Archive order', 'cost Manufacture product', 'Num of Obtain raw materials from Supplier 2']",2,-1.9569162925219405e-06
"['Num of Archive order', 'cost Manufacture product', 'Num of Receive Payment']",2,-1.9569162925219405e-06
"['Num of Archive order', 'cost Manufacture product', 'Num of Request raw materials from Supplier 1']",2,-1.9569162925219405e-06
"['Num of Archive order', 'cost Manufacture product', 'Num of Request raw materials from Supplier 2']",2,-1.9569162925219405e-06
"['Num of Archive order', 'cost Manufacture product', 'Num of Retrieve product from warehouse']",2,-1.954406901868938e-06
"['Num of Archive order', 'cost Manufacture product', 'Num of Ship product']",2,-1.9569162925219405e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Emit invoice']",3,-1.7186949805458341e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Get shipping address']",3,-1.7186949805458341e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1']",3,-1.6111751546950509e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Receive Payment']",3,-1.7186949805458341e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Request raw materials from Supplier 1']",3,-1.7186949805458341e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Request raw materials from Supplier 2']",3,-1.7186949805458341e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Retrieve product from warehouse']",3,-1.7031212620133576e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Ship product']",3,-1.7162921005001847e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'Num of Check raw materials availability']",3,-1.7132713588007797e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'Num of Confirm order']",3,-1.7132713588007801e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'Num of Emit invoice']",3,-1.7133558019561779e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'Num of Get shipping address']",3,-1.7133558019561779e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'Num of Manufacture product']",3,-1.7133558019561779e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'Num of Notify unavailability to customer']",3,-1.7132713588007801e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'Num of Obtain raw materials from Supplier 1']",3,-1.7133558019561779e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'Num of Obtain raw materials from Supplier 2']",3,-1.7133558019561779e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'Num of Receive Payment']",3,-1.7133558019561779e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'Num of Request raw materials from Supplier 1']",3,-1.7133558019561779e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'Num of Request raw materials from Supplier 2']",3,-1.7133558019561779e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'Num of Retrieve product from warehouse']",3,-1.7132713588007797e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'Num of Ship product']",3,-1.7133558019561779e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Emit invoice']",4,-1.6150345729249776e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Get shipping address']",4,-1.6150345729249776e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Receive Payment']",4,-1.6150345729249776e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Request raw materials from Supplier 1']",4,-1.6150345729249776e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Request raw materials from Supplier 2']",4,-1.6150345729249776e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse']",4,-1.6015010522309815e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Ship product']",4,-1.6123740802502764e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'Num of Check raw materials availability']",4,-1.6116511490184042e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'Num of Confirm order']",4,-1.6116511490184049e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'Num of Emit invoice']",4,-1.6136573450670508e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'Num of Get shipping address']",4,-1.6136573450670508e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'Num of Manufacture product']",4,-1.6136573450670508e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'Num of Notify unavailability to customer']",4,-1.6116511490184055e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'Num of Obtain raw materials from Supplier 1']",4,-1.6136573450670508e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'Num of Obtain raw materials from Supplier 2']",4,-1.6136573450670508e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'Num of Receive Payment']",4,-1.6136573450670508e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'Num of Request raw materials from Supplier 1']",4,-1.6136573450670508e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'Num of Request raw materials from Supplier 2']",4,-1.6136573450670508e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'Num of Retrieve product from warehouse']",4,-1.6116511490184042e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'Num of Ship product']",4,-1.6136573450670508e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'cost Emit invoice']",5,-1.6022914196416275e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'cost Get shipping address']",5,-1.6022914196416275e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'cost Receive Payment']",5,-1.6022914196416275e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'cost Request raw materials from Supplier 1']",5,-1.6022914196416275e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'cost Request raw materials from Supplier 2']",5,-1.6022914196416275e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'cost Ship product']",5,-1.6026999777862155e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability']",5,-1.353582992669678e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Confirm order']",5,-1.3535829926696947e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Emit invoice']",5,-1.6046334007885228e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Get shipping address']",5,-1.6046334007885228e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Manufacture product']",5,-1.6046334007885228e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Notify unavailability to customer']",5,-1.3535829926696968e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Obtain raw materials from Supplier 1']",5,-1.6046334007885228e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Obtain raw materials from Supplier 2']",5,-1.6046334007885228e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Receive Payment']",5,-1.6046334007885228e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Request raw materials from Supplier 1']",5,-1.6046334007885228e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Request raw materials from Supplier 2']",5,-1.6046334007885228e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Retrieve product from warehouse']",5,-1.3535829926696836e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Ship product']",5,-1.6046334007885228e-06
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'cost Emit invoice']",6,-1.3535829926696796e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'cost Get shipping address']",6,-1.3535829926696796e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'cost Receive Payment']",6,-1.3535829926696796e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'cost Request raw materials from Supplier 1']",6,-1.3535829926696796e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'cost Request raw materials from Supplier 2']",6,-1.3535829926696796e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'cost Ship product']",6,-1.3655722482220095e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Confirm order']",6,-1.3535704963526519e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Emit invoice']",6,-1.3535829926697156e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Get shipping address']",6,-1.3535829926697156e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Manufacture product']",6,-1.3535829926697156e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Notify unavailability to customer']",6,-1.353575621437103e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Obtain raw materials from Supplier 1']",6,-1.3535829926697156e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Obtain raw materials from Supplier 2']",6,-1.3535829926697156e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Receive Payment']",6,-1.3535829926697156e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Request raw materials from Supplier 1']",6,-1.3535829926697156e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Request raw materials from Supplier 2']",6,-1.3535829926697156e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Retrieve product from warehouse']",6,-1.3535829926696839e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Ship product']",6,-1.3535829926697156e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Confirm order', 'cost Emit invoice']",7,-1.3535815498860324e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Confirm order', 'cost Get shipping address']",7,-1.3535815498860324e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Confirm order', 'cost Receive Payment']",7,-1.3535815498860324e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Confirm order', 'cost Request raw materials from Supplier 1']",7,-1.3535815498860324e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Confirm order', 'cost Request raw materials from Supplier 2']",7,-1.3535815498860324e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Confirm order', 'cost Ship product']",7,-1.3655679445899423e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Confirm order', 'Num of Emit invoice']",7,-1.353586564641415e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Confirm order', 'Num of Get shipping address']",7,-1.353586564641415e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Confirm order', 'Num of Manufacture product']",7,-1.353586564641415e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Confirm order', 'Num of Notify unavailability to customer']",7,-1.353584867127031e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Confirm order', 'Num of Obtain raw materials from Supplier 1']",7,-1.353586564641415e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Confirm order', 'Num of Obtain raw materials from Supplier 2']",7,-1.353586564641415e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Confirm order', 'Num of Receive Payment']",7,-1.353586564641415e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Confirm order', 'Num of Request raw materials from Supplier 1']",7,-1.353586564641415e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Confirm order', 'Num of Request raw materials from Supplier 2']",7,-1.353586564641415e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Confirm order', 'Num of Retrieve product from warehouse']",7,-1.3535783285408374e-07
"['Num of Archive order', 'cost Manufacture product', 'cost Obtain raw materials from Supplier 2', 'cost Obtain raw materials from Supplier 1', 'cost Retrieve product from warehouse', 'Num of Check raw materials availability', 'Num of Confirm order', 'Num of Ship product']",7,-1.353586564641415e-07
